periodname,city,age,career,surveyed,tested positive,tested negative,treatment eligible,treatment
21-Jun,Baltimore,35-39yrs,astronaut,1,,,,
21-Mar,New York,35-39yrs,surgeon,1,,1,,
21-Mar,New York,35-39yrs,astronaut,1,,,,
21-Mar,Tokyo,35-39yrs,epidemiologist,1,,,,
21-Feb,Philadelphia,35-39yrs,astronaut,1,,1,1,
21-Jan,Chicago,35-39yrs,astronaut,1,,,1,
20-Nov,Boston,35-39yrs,epidemiologist,1,,1,,
20-Nov,Chicago,35-39yrs,epidemiologist,1,,,,
20-Nov,Philadelphia,35-39yrs,epidemiologist,1,,,,
20-Oct,Baltimore,35-39yrs,astronaut,1,,,,
21-Sep,Tokyo,40-44yrs,surgeon,1,,,,
21-Aug,Tokyo,40-44yrs,surgeon,1,,,,
21-Jul,Chicago,40-44yrs,epidemiologist,1,,,,
21-Jul,Tokyo,40-44yrs,astronaut,1,,2,2,
21-May,Tokyo,40-44yrs,surgeon,1,,1,1,
21-Apr,Philadelphia,40-44yrs,farmer,1,,1,,
21-Feb,Philadelphia,40-44yrs,farmer,1,,,,
21-Jan,London,40-44yrs,astronaut,1,,,,
20-Dec,Baltimore,40-44yrs,astronaut,1,,1,,
20-Dec,Chicago,40-44yrs,astronaut,1,,1,,
20-Nov,Chicago,40-44yrs,astronaut,1,,1,,
21-Aug,Tokyo,45-49yrs,astronaut,1,,,,
21-Jul,Baltimore,45-49yrs,astronaut,1,,,,
21-Jun,Boston,45-49yrs,astronaut,1,,1,1,
21-Jun,Tokyo,45-49yrs,astronaut,1,,2,1,
21-Mar,Boston,45-49yrs,surgeon,1,,,,
21-Feb,Baltimore,45-49yrs,astronaut,1,,,,
21-Feb,Chicago,45-49yrs,surgeon,1,,,,
21-Jan,Boston,45-49yrs,epidemiologist,1,,1,1,
20-Dec,Chicago,45-49yrs,astronaut,1,,,,
20-Dec,Chicago,45-49yrs,epidemiologist,1,,,1,
20-Nov,Tokyo,45-49yrs,surgeon,1,,,,
20-Oct,Chicago,45-49yrs,astronaut,1,,,,
21-Aug,Tokyo,50+yrs,surgeon,1,,2,2,
21-Jul,Tokyo,50+yrs,surgeon,1,,1,1,
21-Jul,Tokyo,50+yrs,astronaut,1,,1,1,
21-Jun,Boston,50+yrs,astronaut,1,,1,1,
21-Apr,Tokyo,50+yrs,surgeon,1,,1,1,
21-Mar,Tokyo,50+yrs,farmer,1,,,,
21-Feb,Baltimore,50+yrs,astronaut,1,,1,,
21-Feb,Chicago,50+yrs,epidemiologist,1,,,,
20-Dec,Boston,50+yrs,surgeon,1,,,,
20-Dec,Chicago,50+yrs,surgeon,1,,1,,
20-Dec,Philadelphia,50+yrs,astronaut,1,,1,,
20-Oct,Chicago,50+yrs,astronaut,1,,2,2,
21-Aug,Philadelphia,30-34yrs,astronaut,,5,2,,
21-Jan,New York,30-34yrs,astronaut,,3,,,
21-Aug,Philadelphia,25-29yrs,astronaut,,2,2,,
21-Jun,Philadelphia,30-34yrs,astronaut,,2,2,2,
21-Jul,Boston,35-39yrs,surgeon,,2,1,,
21-Jul,Philadelphia,15-19yrs,farmer,,1,1,,
21-Jul,London,25-29yrs,epidemiologist,,1,1,,
21-Apr,Philadelphia,25-29yrs,farmer,,1,6,,
21-Mar,London,25-29yrs,surgeon,,1,,,
21-Jul,Philadelphia,30-34yrs,astronaut,,1,1,,
21-Jul,Philadelphia,30-34yrs,farmer,,1,1,,
21-Mar,London,30-34yrs,surgeon,,1,,,
21-Sep,Philadelphia,35-39yrs,astronaut,,1,1,,
21-Aug,Philadelphia,35-39yrs,surgeon,,1,1,,
21-Aug,Philadelphia,35-39yrs,farmer,,1,3,,
21-Jul,Philadelphia,35-39yrs,farmer,,1,1,,
21-Jan,Philadelphia,35-39yrs,farmer,,1,,,
21-Jun,Philadelphia,40-44yrs,astronaut,,1,1,1,
21-Apr,London,40-44yrs,astronaut,,1,,,
21-Mar,Boston,40-44yrs,astronaut,,1,,,
20-Nov,Chicago,40-44yrs,surgeon,,1,1,,
20-Nov,New York,40-44yrs,astronaut,,1,,,
21-Jul,Boston,45-49yrs,surgeon,,1,,,
21-Apr,London,45-49yrs,surgeon,,1,,,
21-Sep,Philadelphia,50+yrs,farmer,,1,,,
21-Aug,Philadelphia,50+yrs,astronaut,,1,,,
20-Nov,Boston,50+yrs,surgeon,,1,,1,
21-Sep,Baltimore,15-19yrs,surgeon,,,,,
21-Sep,Baltimore,15-19yrs,pilot,,,,,
21-Sep,Baltimore,15-19yrs,farmer,,,,,
21-Sep,Baltimore,15-19yrs,epidemiologist,,,,,
21-Sep,Boston,15-19yrs,pilot,,,,,
21-Sep,Boston,15-19yrs,farmer,,,,,
21-Sep,Boston,15-19yrs,epidemiologist,,,,,
21-Sep,Chicago,15-19yrs,pilot,,,,,
21-Sep,Chicago,15-19yrs,farmer,,,,,
21-Sep,Chicago,15-19yrs,epidemiologist,,,,,
21-Sep,London,15-19yrs,surgeon,,,2,,
21-Sep,London,15-19yrs,astronaut,,,,,
21-Sep,London,15-19yrs,pilot,,,,,
21-Sep,London,15-19yrs,farmer,,,,,
21-Sep,London,15-19yrs,epidemiologist,,,,,
21-Sep,New York,15-19yrs,astronaut,,,,,
21-Sep,New York,15-19yrs,pilot,,,,,
21-Sep,New York,15-19yrs,farmer,,,,,
21-Sep,New York,15-19yrs,epidemiologist,,,,,
21-Sep,Philadelphia,15-19yrs,surgeon,,,,,
21-Sep,Philadelphia,15-19yrs,astronaut,,,,,
21-Sep,Philadelphia,15-19yrs,pilot,,,,,
21-Sep,Philadelphia,15-19yrs,farmer,,,,,
21-Sep,Philadelphia,15-19yrs,epidemiologist,,,,,
21-Sep,Tokyo,15-19yrs,surgeon,,,,,
21-Sep,Tokyo,15-19yrs,pilot,,,,,
21-Sep,Tokyo,15-19yrs,farmer,,,,,
21-Sep,Tokyo,15-19yrs,epidemiologist,,,,,
21-Sep,Washington D.C.,15-19yrs,surgeon,,,,,
21-Sep,Washington D.C.,15-19yrs,astronaut,,,,,
21-Sep,Washington D.C.,15-19yrs,pilot,,,,,
21-Sep,Washington D.C.,15-19yrs,farmer,,,,,
21-Sep,Washington D.C.,15-19yrs,epidemiologist,,,,,
21-Aug,Baltimore,15-19yrs,surgeon,,,,,
21-Aug,Baltimore,15-19yrs,pilot,,,,,
21-Aug,Baltimore,15-19yrs,farmer,,,,,
21-Aug,Baltimore,15-19yrs,epidemiologist,,,,,
21-Aug,Boston,15-19yrs,pilot,,,,,
21-Aug,Boston,15-19yrs,farmer,,,,,
21-Aug,Boston,15-19yrs,epidemiologist,,,,,
21-Aug,Chicago,15-19yrs,surgeon,,,,,
21-Aug,Chicago,15-19yrs,astronaut,,,,,
21-Aug,Chicago,15-19yrs,pilot,,,,,
21-Aug,Chicago,15-19yrs,farmer,,,,,
21-Aug,London,15-19yrs,surgeon,,,,,
21-Aug,London,15-19yrs,astronaut,,,,,
21-Aug,London,15-19yrs,pilot,,,,,
21-Aug,London,15-19yrs,farmer,,,,,
21-Aug,London,15-19yrs,epidemiologist,,,,,
21-Aug,New York,15-19yrs,astronaut,,,,,
21-Aug,New York,15-19yrs,pilot,,,,,
21-Aug,New York,15-19yrs,epidemiologist,,,,,
21-Aug,Philadelphia,15-19yrs,astronaut,,,1,,
21-Aug,Philadelphia,15-19yrs,pilot,,,,,
21-Aug,Philadelphia,15-19yrs,farmer,,,,,
21-Aug,Philadelphia,15-19yrs,epidemiologist,,,,,
21-Aug,Tokyo,15-19yrs,surgeon,,,,,
21-Aug,Tokyo,15-19yrs,astronaut,,,,,
21-Aug,Tokyo,15-19yrs,pilot,,,,,
21-Aug,Tokyo,15-19yrs,farmer,,,,,
21-Aug,Tokyo,15-19yrs,epidemiologist,,,,,
21-Aug,Washington D.C.,15-19yrs,surgeon,,,,,
21-Aug,Washington D.C.,15-19yrs,astronaut,,,,,
21-Aug,Washington D.C.,15-19yrs,pilot,,,,,
21-Aug,Washington D.C.,15-19yrs,farmer,,,,,
21-Aug,Washington D.C.,15-19yrs,epidemiologist,,,,,
21-Jul,Baltimore,15-19yrs,surgeon,,,,,
21-Jul,Baltimore,15-19yrs,pilot,,,,,
21-Jul,Baltimore,15-19yrs,farmer,,,,,
21-Jul,Baltimore,15-19yrs,epidemiologist,,,,,
21-Jul,Boston,15-19yrs,astronaut,,,,,
21-Jul,Boston,15-19yrs,pilot,,,,,
21-Jul,Boston,15-19yrs,farmer,,,,,
21-Jul,Boston,15-19yrs,epidemiologist,,,,,
21-Jul,Chicago,15-19yrs,surgeon,,,,,
21-Jul,Chicago,15-19yrs,astronaut,,,,,
21-Jul,Chicago,15-19yrs,pilot,,,,,
21-Jul,Chicago,15-19yrs,farmer,,,,,
21-Jul,Chicago,15-19yrs,epidemiologist,,,,,
21-Jul,London,15-19yrs,surgeon,,,,,
21-Jul,London,15-19yrs,astronaut,,,,,
21-Jul,London,15-19yrs,pilot,,,,,
21-Jul,London,15-19yrs,farmer,,,,,
21-Jul,London,15-19yrs,epidemiologist,,,,,
21-Jul,New York,15-19yrs,pilot,,,,,
21-Jul,New York,15-19yrs,epidemiologist,,,,,
21-Jul,Philadelphia,15-19yrs,astronaut,,,,,
21-Jul,Philadelphia,15-19yrs,pilot,,,,,
21-Jul,Philadelphia,15-19yrs,epidemiologist,,,,,
21-Jul,Tokyo,15-19yrs,surgeon,,,,,
21-Jul,Tokyo,15-19yrs,astronaut,,,,,
21-Jul,Tokyo,15-19yrs,pilot,,,,,
21-Jul,Tokyo,15-19yrs,farmer,,,,,
21-Jul,Tokyo,15-19yrs,epidemiologist,,,,,
21-Jul,Washington D.C.,15-19yrs,surgeon,,,,,
21-Jul,Washington D.C.,15-19yrs,astronaut,,,,,
21-Jul,Washington D.C.,15-19yrs,pilot,,,,,
21-Jul,Washington D.C.,15-19yrs,farmer,,,,,
21-Jul,Washington D.C.,15-19yrs,epidemiologist,,,,,
21-Jun,Baltimore,15-19yrs,surgeon,,,,,
21-Jun,Baltimore,15-19yrs,pilot,,,,,
21-Jun,Baltimore,15-19yrs,farmer,,,,,
21-Jun,Baltimore,15-19yrs,epidemiologist,,,,,
21-Jun,Boston,15-19yrs,pilot,,,,,
21-Jun,Boston,15-19yrs,farmer,,,,,
21-Jun,Boston,15-19yrs,epidemiologist,,,,,
21-Jun,Chicago,15-19yrs,surgeon,,,,,
21-Jun,Chicago,15-19yrs,astronaut,,,1,1,
21-Jun,Chicago,15-19yrs,pilot,,,,,
21-Jun,Chicago,15-19yrs,farmer,,,,,
21-Jun,London,15-19yrs,surgeon,,,,,
21-Jun,London,15-19yrs,astronaut,,,,,
21-Jun,London,15-19yrs,pilot,,,,,
21-Jun,London,15-19yrs,farmer,,,,,
21-Jun,London,15-19yrs,epidemiologist,,,,,
21-Jun,New York,15-19yrs,surgeon,,,,,
21-Jun,New York,15-19yrs,pilot,,,,,
21-Jun,New York,15-19yrs,farmer,,,,,
21-Jun,New York,15-19yrs,epidemiologist,,,,,
21-Jun,Philadelphia,15-19yrs,astronaut,,,,,
21-Jun,Philadelphia,15-19yrs,pilot,,,,,
21-Jun,Philadelphia,15-19yrs,farmer,,,1,,
21-Jun,Philadelphia,15-19yrs,epidemiologist,,,,,
21-Jun,Tokyo,15-19yrs,pilot,,,,,
21-Jun,Tokyo,15-19yrs,farmer,,,,,
21-Jun,Tokyo,15-19yrs,epidemiologist,,,,,
21-Jun,Washington D.C.,15-19yrs,surgeon,,,,,
21-Jun,Washington D.C.,15-19yrs,astronaut,,,,,
21-Jun,Washington D.C.,15-19yrs,pilot,,,,,
21-Jun,Washington D.C.,15-19yrs,farmer,,,,,
21-Jun,Washington D.C.,15-19yrs,epidemiologist,,,,,
21-May,Baltimore,15-19yrs,surgeon,,,,,
21-May,Baltimore,15-19yrs,astronaut,,,,,
21-May,Baltimore,15-19yrs,pilot,,,,,
21-May,Baltimore,15-19yrs,farmer,,,,,
21-May,Baltimore,15-19yrs,epidemiologist,,,,,
21-May,Boston,15-19yrs,pilot,,,,,
21-May,Boston,15-19yrs,farmer,,,,,
21-May,Boston,15-19yrs,epidemiologist,,,,,
21-May,Chicago,15-19yrs,astronaut,,,,,
21-May,Chicago,15-19yrs,pilot,,,,,
21-May,Chicago,15-19yrs,farmer,,,,,
21-May,Chicago,15-19yrs,epidemiologist,,,,,
21-May,London,15-19yrs,surgeon,,,,,
21-May,London,15-19yrs,astronaut,,,,,
21-May,London,15-19yrs,pilot,,,,,
21-May,London,15-19yrs,farmer,,,,,
21-May,London,15-19yrs,epidemiologist,,,,,
21-May,New York,15-19yrs,surgeon,,,,,
21-May,New York,15-19yrs,astronaut,,,,,
21-May,New York,15-19yrs,pilot,,,,,
21-May,New York,15-19yrs,farmer,,,,,
21-May,New York,15-19yrs,epidemiologist,,,,,
21-May,Philadelphia,15-19yrs,surgeon,,,,,
21-May,Philadelphia,15-19yrs,astronaut,,,,,
21-May,Philadelphia,15-19yrs,pilot,,,,,
21-May,Philadelphia,15-19yrs,farmer,,,,,
21-May,Philadelphia,15-19yrs,epidemiologist,,,,,
21-May,Tokyo,15-19yrs,surgeon,,,,,
21-May,Tokyo,15-19yrs,pilot,,,,,
21-May,Tokyo,15-19yrs,farmer,,,,,
21-May,Tokyo,15-19yrs,epidemiologist,,,,,
21-May,Washington D.C.,15-19yrs,surgeon,,,,,
21-May,Washington D.C.,15-19yrs,astronaut,,,,,
21-May,Washington D.C.,15-19yrs,pilot,,,,,
21-May,Washington D.C.,15-19yrs,farmer,,,,,
21-May,Washington D.C.,15-19yrs,epidemiologist,,,,,
21-Apr,Baltimore,15-19yrs,surgeon,,,,,
21-Apr,Baltimore,15-19yrs,pilot,,,,,
21-Apr,Baltimore,15-19yrs,farmer,,,,,
21-Apr,Baltimore,15-19yrs,epidemiologist,,,,,
21-Apr,Boston,15-19yrs,pilot,,,,,
21-Apr,Boston,15-19yrs,farmer,,,,,
21-Apr,Boston,15-19yrs,epidemiologist,,,,,
21-Apr,Chicago,15-19yrs,surgeon,,,,,
21-Apr,Chicago,15-19yrs,astronaut,,,,,
21-Apr,Chicago,15-19yrs,pilot,,,,,
21-Apr,Chicago,15-19yrs,farmer,,,,,
21-Apr,Chicago,15-19yrs,epidemiologist,,,,,
21-Apr,London,15-19yrs,surgeon,,,,,
21-Apr,London,15-19yrs,astronaut,,,,,
21-Apr,London,15-19yrs,pilot,,,,,
21-Apr,London,15-19yrs,farmer,,,,,
21-Apr,New York,15-19yrs,pilot,,,,,
21-Apr,New York,15-19yrs,farmer,,,,,
21-Apr,New York,15-19yrs,epidemiologist,,,,,
21-Apr,Philadelphia,15-19yrs,pilot,,,,,
21-Apr,Philadelphia,15-19yrs,farmer,,,,,
21-Apr,Philadelphia,15-19yrs,epidemiologist,,,,,
21-Apr,Tokyo,15-19yrs,pilot,,,,,
21-Apr,Tokyo,15-19yrs,farmer,,,,,
21-Apr,Tokyo,15-19yrs,epidemiologist,,,,,
21-Apr,Washington D.C.,15-19yrs,surgeon,,,,,
21-Apr,Washington D.C.,15-19yrs,astronaut,,,,,
21-Apr,Washington D.C.,15-19yrs,pilot,,,,,
21-Apr,Washington D.C.,15-19yrs,farmer,,,,,
21-Apr,Washington D.C.,15-19yrs,epidemiologist,,,,,
21-Mar,Baltimore,15-19yrs,surgeon,,,,,
21-Mar,Baltimore,15-19yrs,astronaut,,,,,
21-Mar,Baltimore,15-19yrs,pilot,,,,,
21-Mar,Baltimore,15-19yrs,farmer,,,,,
21-Mar,Baltimore,15-19yrs,epidemiologist,,,,,
21-Mar,Boston,15-19yrs,pilot,,,,,
21-Mar,Boston,15-19yrs,farmer,,,,,
21-Mar,Boston,15-19yrs,epidemiologist,,,,,
21-Mar,Chicago,15-19yrs,pilot,,,,,
21-Mar,Chicago,15-19yrs,farmer,,,,,
21-Mar,London,15-19yrs,surgeon,,,,,
21-Mar,London,15-19yrs,pilot,,,,,
21-Mar,London,15-19yrs,farmer,,,,,
21-Mar,London,15-19yrs,epidemiologist,,,,,
21-Mar,New York,15-19yrs,surgeon,,,,,
21-Mar,New York,15-19yrs,pilot,,,,,
21-Mar,New York,15-19yrs,farmer,,,,,
21-Mar,New York,15-19yrs,epidemiologist,,,,,
21-Mar,Philadelphia,15-19yrs,astronaut,,,,,
21-Mar,Philadelphia,15-19yrs,pilot,,,,,
21-Mar,Philadelphia,15-19yrs,farmer,,,,,
21-Mar,Philadelphia,15-19yrs,epidemiologist,,,,,
21-Mar,Tokyo,15-19yrs,pilot,,,,,
21-Mar,Tokyo,15-19yrs,farmer,,,,,
21-Mar,Washington D.C.,15-19yrs,surgeon,,,,,
21-Mar,Washington D.C.,15-19yrs,astronaut,,,,,
21-Mar,Washington D.C.,15-19yrs,pilot,,,,,
21-Mar,Washington D.C.,15-19yrs,farmer,,,,,
21-Mar,Washington D.C.,15-19yrs,epidemiologist,,,,,
21-Feb,Baltimore,15-19yrs,surgeon,,,,,
21-Feb,Baltimore,15-19yrs,pilot,,,,,
21-Feb,Baltimore,15-19yrs,farmer,,,,,
21-Feb,Baltimore,15-19yrs,epidemiologist,,,,,
21-Feb,Boston,15-19yrs,pilot,,,,,
21-Feb,Boston,15-19yrs,farmer,,,,,
21-Feb,Chicago,15-19yrs,pilot,,,,,
21-Feb,London,15-19yrs,surgeon,,,,,
21-Feb,London,15-19yrs,astronaut,,,,,
21-Feb,London,15-19yrs,pilot,,,,,
21-Feb,London,15-19yrs,farmer,,,,,
21-Feb,London,15-19yrs,epidemiologist,,,,,
21-Feb,New York,15-19yrs,surgeon,,,,,
21-Feb,New York,15-19yrs,pilot,,,,,
21-Feb,New York,15-19yrs,farmer,,,,,
21-Feb,New York,15-19yrs,epidemiologist,,,,,
21-Feb,Philadelphia,15-19yrs,surgeon,,,,,
21-Feb,Philadelphia,15-19yrs,pilot,,,,,
21-Feb,Philadelphia,15-19yrs,epidemiologist,,,,,
21-Feb,Tokyo,15-19yrs,pilot,,,,,
21-Feb,Washington D.C.,15-19yrs,surgeon,,,,,
21-Feb,Washington D.C.,15-19yrs,astronaut,,,,,
21-Feb,Washington D.C.,15-19yrs,pilot,,,,,
21-Feb,Washington D.C.,15-19yrs,farmer,,,,,
21-Feb,Washington D.C.,15-19yrs,epidemiologist,,,,,
21-Jan,Baltimore,15-19yrs,surgeon,,,,,
21-Jan,Baltimore,15-19yrs,pilot,,,,,
21-Jan,Baltimore,15-19yrs,farmer,,,,,
21-Jan,Baltimore,15-19yrs,epidemiologist,,,,,
21-Jan,Boston,15-19yrs,pilot,,,,,
21-Jan,Boston,15-19yrs,farmer,,,,,
21-Jan,Boston,15-19yrs,epidemiologist,,,,,
21-Jan,Chicago,15-19yrs,pilot,,,,,
21-Jan,Chicago,15-19yrs,farmer,,,,,
21-Jan,Chicago,15-19yrs,epidemiologist,,,,,
21-Jan,London,15-19yrs,surgeon,,,,,
21-Jan,London,15-19yrs,pilot,,,,,
21-Jan,London,15-19yrs,farmer,,,,,
21-Jan,London,15-19yrs,epidemiologist,,,,,
21-Jan,New York,15-19yrs,surgeon,,,,,
21-Jan,New York,15-19yrs,astronaut,,,,,
21-Jan,New York,15-19yrs,pilot,,,,,
21-Jan,New York,15-19yrs,farmer,,,,,
21-Jan,New York,15-19yrs,epidemiologist,,,,,
21-Jan,Philadelphia,15-19yrs,surgeon,,,,,
21-Jan,Philadelphia,15-19yrs,pilot,,,,,
21-Jan,Philadelphia,15-19yrs,epidemiologist,,,,,
21-Jan,Tokyo,15-19yrs,pilot,,,,,
21-Jan,Tokyo,15-19yrs,farmer,,,,,
21-Jan,Tokyo,15-19yrs,epidemiologist,,,,,
21-Jan,Washington D.C.,15-19yrs,surgeon,,,,,
21-Jan,Washington D.C.,15-19yrs,astronaut,,,,,
21-Jan,Washington D.C.,15-19yrs,pilot,,,,,
21-Jan,Washington D.C.,15-19yrs,farmer,,,,,
21-Jan,Washington D.C.,15-19yrs,epidemiologist,,,,,
20-Dec,Baltimore,15-19yrs,surgeon,,,,,
20-Dec,Baltimore,15-19yrs,pilot,,,,,
20-Dec,Baltimore,15-19yrs,farmer,,,,,
20-Dec,Baltimore,15-19yrs,epidemiologist,,,,,
20-Dec,Boston,15-19yrs,pilot,,,,,
20-Dec,Boston,15-19yrs,farmer,,,,,
20-Dec,Boston,15-19yrs,epidemiologist,,,,,
20-Dec,Chicago,15-19yrs,pilot,,,,,
20-Dec,Chicago,15-19yrs,farmer,,,,,
20-Dec,London,15-19yrs,surgeon,,,,,
20-Dec,London,15-19yrs,pilot,,,,,
20-Dec,London,15-19yrs,farmer,,,,,
20-Dec,London,15-19yrs,epidemiologist,,,,,
20-Dec,New York,15-19yrs,surgeon,,,,,
20-Dec,New York,15-19yrs,pilot,,,,,
20-Dec,New York,15-19yrs,epidemiologist,,,,,
20-Dec,Philadelphia,15-19yrs,surgeon,,,,,
20-Dec,Philadelphia,15-19yrs,pilot,,,,,
20-Dec,Philadelphia,15-19yrs,farmer,,,,,
20-Dec,Philadelphia,15-19yrs,epidemiologist,,,,,
20-Dec,Tokyo,15-19yrs,pilot,,,,,
20-Dec,Tokyo,15-19yrs,farmer,,,,,
20-Dec,Tokyo,15-19yrs,epidemiologist,,,,1,
20-Dec,Washington D.C.,15-19yrs,surgeon,,,,,
20-Dec,Washington D.C.,15-19yrs,pilot,,,,,
20-Dec,Washington D.C.,15-19yrs,farmer,,,,,
20-Dec,Washington D.C.,15-19yrs,epidemiologist,,,,,
20-Nov,Baltimore,15-19yrs,surgeon,,,,,
20-Nov,Baltimore,15-19yrs,pilot,,,,,
20-Nov,Baltimore,15-19yrs,farmer,,,,,
20-Nov,Baltimore,15-19yrs,epidemiologist,,,,,
20-Nov,Boston,15-19yrs,pilot,,,,,
20-Nov,Boston,15-19yrs,farmer,,,,,
20-Nov,Boston,15-19yrs,epidemiologist,,,,,
20-Nov,Chicago,15-19yrs,pilot,,,,,
20-Nov,Chicago,15-19yrs,farmer,,,,,
20-Nov,London,15-19yrs,pilot,,,,,
20-Nov,London,15-19yrs,farmer,,,,,
20-Nov,New York,15-19yrs,surgeon,,,,,
20-Nov,New York,15-19yrs,pilot,,,,,
20-Nov,New York,15-19yrs,farmer,,,,,
20-Nov,New York,15-19yrs,epidemiologist,,,,,
20-Nov,Philadelphia,15-19yrs,surgeon,,,,,
20-Nov,Philadelphia,15-19yrs,pilot,,,,,
20-Nov,Philadelphia,15-19yrs,farmer,,,,,
20-Nov,Philadelphia,15-19yrs,epidemiologist,,,,,
20-Nov,Tokyo,15-19yrs,pilot,,,,,
20-Nov,Washington D.C.,15-19yrs,surgeon,,,,,
20-Nov,Washington D.C.,15-19yrs,pilot,,,,,
20-Nov,Washington D.C.,15-19yrs,farmer,,,,,
20-Nov,Washington D.C.,15-19yrs,epidemiologist,,,,,
20-Oct,Baltimore,15-19yrs,surgeon,,,,,
20-Oct,Baltimore,15-19yrs,pilot,,,,,
20-Oct,Baltimore,15-19yrs,farmer,,,,,
20-Oct,Baltimore,15-19yrs,epidemiologist,,,,,
20-Oct,Boston,15-19yrs,surgeon,,,,,
20-Oct,Boston,15-19yrs,astronaut,,,,,
20-Oct,Boston,15-19yrs,pilot,,,,,
20-Oct,Boston,15-19yrs,farmer,,,,,
20-Oct,Boston,15-19yrs,epidemiologist,,,,,
20-Oct,Chicago,15-19yrs,pilot,,,,,
20-Oct,Chicago,15-19yrs,farmer,,,,,
20-Oct,London,15-19yrs,surgeon,,,,,
20-Oct,London,15-19yrs,astronaut,,,,,
20-Oct,London,15-19yrs,pilot,,,,,
20-Oct,London,15-19yrs,farmer,,,,,
20-Oct,London,15-19yrs,epidemiologist,,,,,
20-Oct,New York,15-19yrs,surgeon,,,,,
20-Oct,New York,15-19yrs,astronaut,,,,,
20-Oct,New York,15-19yrs,pilot,,,,,
20-Oct,New York,15-19yrs,farmer,,,,,
20-Oct,New York,15-19yrs,epidemiologist,,,,,
20-Oct,Philadelphia,15-19yrs,surgeon,,,,,
20-Oct,Philadelphia,15-19yrs,pilot,,,,,
20-Oct,Philadelphia,15-19yrs,epidemiologist,,,,,
20-Oct,Tokyo,15-19yrs,surgeon,,,,,
20-Oct,Tokyo,15-19yrs,pilot,,,,,
20-Oct,Tokyo,15-19yrs,epidemiologist,,,,,
20-Oct,Washington D.C.,15-19yrs,surgeon,,,,,
20-Oct,Washington D.C.,15-19yrs,astronaut,,,,,
20-Oct,Washington D.C.,15-19yrs,pilot,,,,,
20-Oct,Washington D.C.,15-19yrs,farmer,,,,,
20-Oct,Washington D.C.,15-19yrs,epidemiologist,,,,,
21-Sep,Baltimore,20-24yrs,surgeon,,,,,
21-Sep,Baltimore,20-24yrs,pilot,,,,,
21-Sep,Baltimore,20-24yrs,farmer,,,,,
21-Sep,Baltimore,20-24yrs,epidemiologist,,,,,
21-Sep,Boston,20-24yrs,surgeon,,,,,
21-Sep,Boston,20-24yrs,pilot,,,,,
21-Sep,Boston,20-24yrs,farmer,,,,,
21-Sep,Boston,20-24yrs,epidemiologist,,,,,
21-Sep,Chicago,20-24yrs,pilot,,,,,
21-Sep,Chicago,20-24yrs,farmer,,,,,
21-Sep,Chicago,20-24yrs,epidemiologist,,,2,,
21-Sep,London,20-24yrs,surgeon,,,4,,
21-Sep,London,20-24yrs,astronaut,,,4,,
21-Sep,London,20-24yrs,pilot,,,,,
21-Sep,London,20-24yrs,farmer,,,,,
21-Sep,London,20-24yrs,epidemiologist,,,1,,
21-Sep,New York,20-24yrs,pilot,,,,,
21-Sep,New York,20-24yrs,epidemiologist,,,,,
21-Sep,Philadelphia,20-24yrs,astronaut,,,2,,
21-Sep,Philadelphia,20-24yrs,pilot,,,,,
21-Sep,Philadelphia,20-24yrs,farmer,,,,,
21-Sep,Philadelphia,20-24yrs,epidemiologist,,,,,
21-Sep,Tokyo,20-24yrs,pilot,,,,,
21-Sep,Tokyo,20-24yrs,farmer,,,,,
21-Sep,Tokyo,20-24yrs,epidemiologist,,,,,
21-Sep,Washington D.C.,20-24yrs,surgeon,,,,,
21-Sep,Washington D.C.,20-24yrs,pilot,,,,,
21-Sep,Washington D.C.,20-24yrs,farmer,,,,,
21-Sep,Washington D.C.,20-24yrs,epidemiologist,,,,,
21-Aug,Baltimore,20-24yrs,surgeon,,,,,
21-Aug,Baltimore,20-24yrs,pilot,,,,,
21-Aug,Baltimore,20-24yrs,farmer,,,,,
21-Aug,Baltimore,20-24yrs,epidemiologist,,,,,
21-Aug,Boston,20-24yrs,pilot,,,,,
21-Aug,Boston,20-24yrs,epidemiologist,,,,,
21-Aug,Chicago,20-24yrs,pilot,,,,,
21-Aug,Chicago,20-24yrs,farmer,,,,,
21-Aug,London,20-24yrs,surgeon,,,,,
21-Aug,London,20-24yrs,astronaut,,,,,
21-Aug,London,20-24yrs,pilot,,,,,
21-Aug,London,20-24yrs,farmer,,,,,
21-Aug,London,20-24yrs,epidemiologist,,,,,
21-Aug,New York,20-24yrs,pilot,,,,,
21-Aug,Philadelphia,20-24yrs,pilot,,,,,
21-Aug,Philadelphia,20-24yrs,farmer,,,1,,
21-Aug,Philadelphia,20-24yrs,epidemiologist,,,,,
21-Aug,Tokyo,20-24yrs,pilot,,,,,
21-Aug,Tokyo,20-24yrs,farmer,,,,,
21-Aug,Washington D.C.,20-24yrs,surgeon,,,,,
21-Aug,Washington D.C.,20-24yrs,pilot,,,,,
21-Aug,Washington D.C.,20-24yrs,farmer,,,,,
21-Aug,Washington D.C.,20-24yrs,epidemiologist,,,,,
21-Jul,Baltimore,20-24yrs,surgeon,,,,,
21-Jul,Baltimore,20-24yrs,pilot,,,,,
21-Jul,Baltimore,20-24yrs,farmer,,,,,
21-Jul,Baltimore,20-24yrs,epidemiologist,,,,,
21-Jul,Boston,20-24yrs,pilot,,,,,
21-Jul,Boston,20-24yrs,farmer,,,,,
